ID,Category,Language,Text_Content,Risk_Verdict,Risk_Score,Threat_Indicators
SMS-001,bank_impersonation,english,"ALERT: Your HBL Account #4829 has been locked due to suspicious activity. Verify immediately at http://hbl-verify-security.xyz",DANGEROUS,95,"Fake urgency; Suspicious .xyz TLD; Pretends to be HBL"
SMS-002,bank_impersonation,roman_urdu,"Aap ka Meezan Bank account temporary suspend ho gaya hai. Abhi account update karein: http://meezan-bank-online-update.info",DANGEROUS,92,"Roman Urdu fake suspension threat; Phishing URL"
SMS-003,government_scheme,roman_urdu,"Mubarak ho! BISP Ehsaas Program ki taraf se 25,000 PKR qist manzoor ho chuki hai. Claim: http://bisp-claim-8171.site",DANGEROUS,94,"Fake government stipend claim; Fake 8171 domain"
SMS-004,government_scheme,urdu,"مبارک ہو! بینظیر انکم سپورٹ پروگرام کی طرف سے 35,000 روپے کی مالی امداد منظور ہو گئی ہے۔: http://bisp-8171-pak.site",DANGEROUS,94,"Urdu script scam; Fake stipend claim"
SMS-005,otp_theft,roman_urdu,"Assalam-o-Alaikum, Main JazzCash support se baat kar raha hoon. Aap ke number par OTP aaya hai, jaldi share karein.",DANGEROUS,98,"Direct request for one-time password (OTP); JazzCash impersonation"
SMS-006,lottery_prize,english,"CONGRATULATIONS! You won a Toyota Prado in Jeeto Pakistan. Claim fee 15,000 PKR via EasyPaisa to 0300-1234567.",DANGEROUS,96,"Unsolicited lottery prize; Requests advance payment"
SMS-007,courier_delivery,english,"Leopards Courier: Your shipment PK-94821 could not be delivered. Update address: http://bit.ly/leopards-pkg-update",SUSPICIOUS,75,"Delivery notice with URL shortener"
SMS-008,legitimate_transaction,english,"Dear Customer, PKR 4,500.00 debited from Account **4921 on 04-SEP-26. Ref: POS-GROCERY. If not you, call 111-000-425.",SAFE,5,"Standard transaction notification"
SMS-009,legitimate_otp,english,"Your EasyPaisa login OTP is 482910. Valid 3 mins. NEVER share this code with anyone.",SAFE,10,"Official OTP message with warning"
URL-001,typosquatting,english,"http://hbl-verify-security.xyz/login",DANGEROUS,95,".xyz TLD impersonating bank"
URL-002,character_substitution,english,"http://paypa1-security-update.com",DANGEROUS,92,"Letter l replaced with digit 1"
URL-003,url_shortener,english,"http://bit.ly/3x8AbCd",SUSPICIOUS,65,"Shortened URL redirection"
URL-004,official_domain,english,"https://www.hbl.com/personal-banking",SAFE,0,"Verified official domain"
URL-005,official_government,english,"https://8171.bisp.gov.pk/",SAFE,0,"Official government .gov.pk domain"
PHONE-001,spoofed_line,english,"+1 (800) 555-0199",DANGEROUS,95,"Reserved 555-01XX spoofing line"
PHONE-002,reported_scammer,english,"+92 300 1234567",DANGEROUS,88,"Community reported 42 times for fake 8171 calls"
PHONE-003,official_uan,english,"111-225-111",SAFE,0,"Official UBL UAN Helpline"
